step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
914,0.2481,0.94787,,
915,0.11296,0.95516,,
916,0.0689,0.9881,,
917,0.33077,0.93863,,
918,0.11961,0.98086,,
919,0.28093,0.91892,,
920,0.01806,0.99242,0.00031,1.0
921,0.64779,0.85294,,
922,0.04751,0.98491,,
923,0.02283,0.99351,,
924,0.105,0.964,,
925,0.01513,0.99333,,
926,0.22065,0.9529,,
927,0.07552,0.97633,,
928,0.05533,0.97765,,
929,0.29137,0.93684,,
930,0.16193,0.96552,0.43082,0.91209
931,0.02345,0.99401,,
932,0.03386,0.98492,,
933,0.34582,0.9023,,
934,0.18077,0.95666,,
935,0.05702,0.98444,,
936,0.28728,0.93333,,
937,0.00848,0.9916,,
